typhoon_id,typhoon_name,province,city_name,impact_time,impact_latitude,impact_longitude,wind_speed,pressure,intensity_code,intensity_level,track_point_index,impact_type,sequence_in_city,city_name_processed,year,unique_id
2002,Nuri,Guangdong,Yangjiang,2020061403,21.8,111.7,18,995,2,强热带风暴,22,中心经过,1,Yangjiang,2020,0
2002,Nuri,Guangdong,Maoming,2020061406,22.1,111.1,15,998,1,热带风暴,23,中心经过,1,Maoming,2020,1
2002,Nuri,Guangxi,Yulin,2020061409,22.6,110.3,13,1002,1,热带风暴,24,中心经过,1,Yulin,2020,2
2002,Nuri,Guangxi,Guigang,2020061412,23.1,109.4,10,1005,0,热带低压,25,中心经过,1,Guigang,2020,3
2003,Sinlaku,Hainan,Hainan,2020080100,18.9,110.4,13,995,1,热带风暴,7,中心经过,1,Hainan_18.9_110.4,2020,4
2003,Sinlaku,Hainan,Hainan,2020080103,18.9,109.5,13,995,1,热带风暴,8,中心经过,2,Hainan_18.9_109.5,2020,5
2003,Sinlaku,Hainan,Hainan,2020080106,19.0,108.7,13,994,1,热带风暴,9,中心经过,3,Hainan_19.0_108.7,2020,6
2004,Hagupit,Zhejiang,Wenzhou,2020080321,28.3,120.8,38,970,4,强台风,18,中心经过,1,Wenzhou,2020,7
2004,Hagupit,Zhejiang,Taizhou,2020080400,28.6,120.6,28,985,3,台风,19,中心经过,1,Taizhou,2020,8
2004,Hagupit,Zhejiang,Jinhua,2020080403,29.0,120.6,28,985,3,台风,20,中心经过,1,Jinhua,2020,9
2004,Hagupit,Zhejiang,Shaoxing,2020080406,29.6,120.6,25,990,3,台风,21,中心经过,1,Shaoxing,2020,10
2004,Hagupit,Zhejiang,Shaoxing,2020080409,30.1,120.6,23,995,2,强热带风暴,22,中心经过,2,Shaoxing,2020,11
2004,Hagupit,Zhejiang,Jiaxing,2020080412,30.8,120.6,23,995,2,强热带风暴,23,中心经过,1,Jiaxing,2020,12
2004,Hagupit,Jiangsu,Suzhou,2020080415,31.6,120.6,20,998,2,强热带风暴,24,中心经过,1,Suzhou,2020,13
2004,Hagupit,Jiangsu,Nantong,2020080418,32.5,120.5,20,998,2,强热带风暴,25,中心经过,1,Nantong,2020,14
2004,Hagupit,Jiangsu,Yancheng,2020080421,33.5,120.5,18,998,2,强热带风暴,26,中心经过,1,Yancheng,2020,15
2006,Mekkhala,Fujian,Zhangzhou,2020081100,24.1,117.8,38,975,4,强台风,13,中心经过,1,Zhangzhou,2020,16
2006,Mekkhala,Fujian,Zhangzhou,2020081103,24.7,117.5,23,995,2,强热带风暴,14,中心经过,2,Zhangzhou,2020,17
2006,Mekkhala,Fujian,Longyan,2020081106,25.5,117.0,15,1002,1,热带风暴,15,中心经过,1,Longyan,2020,18
2007,Higos,Guangdong,Jiangmen,2020081903,22.6,112.7,23,992,2,强热带风暴,17,中心经过,1,Jiangmen,2020,19
2007,Higos,Guangdong,Yunfu,2020081906,23.0,112.2,20,995,2,强热带风暴,18,中心经过,1,Yunfu,2020,20
2007,Higos,Guangdong,Zhaoqing,2020081909,23.5,111.5,18,998,2,强热带风暴,19,中心经过,1,Zhaoqing,2020,21
2007,Higos,Guangxi,Hezhou,2020081912,23.9,110.9,15,1000,1,热带风暴,20,中心经过,1,Hezhou,2020,22
2007,Higos,Guangxi,Guilin,2020081915,24.4,110.4,13,1004,1,热带风暴,21,中心经过,1,Guilin,2020,23
